Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
493,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phasivirus,,Wutai mosquito phasivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180156
494,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Bujaru phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180158
495,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Candiru phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180159
496,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Chilibre phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180160
497,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Frijoles phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180161
498,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Punta Toro phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180162
499,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Rift Valley fever phlebovirus,1,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180163
500,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Salehabad phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180164
501,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Sandfly fever Naples phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180165
502,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Phlebovirus,,Uukuniemi phlebovirus,0,ssRNA(+/-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180167
503,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Pidchovirus,,Pidgey pidchovirus,1,ssRNA(-),"New,",33,2017.012M.A.v2.Bunyavirales.zip,ICTVonline=20186236
504,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Echinochloa hoja blanca tenuivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180169
505,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Iranian wheat stripe tenuivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180170
506,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Maize stripe tenuivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180171
507,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Rice grassy stunt tenuivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180172
508,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Rice hoja blanca tenuivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180173
509,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Rice stripe tenuivirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180174
510,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Tenuivirus,,Urochloa hoja blanca tenuivirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20180175
511,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Wubeivirus,,Dipteran wubeivirus,1,ssRNA(-),"New,",33,2017.012M.A.v2.Bunyavirales.zip,ICTVonline=20186238
512,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Phenuiviridae,,Wubeivirus,,Fly wubeivirus,0,ssRNA(-),"New,",33,2017.012M.A.v2.Bunyavirales.zip,ICTVonline=20186239
513,,,,,Negarnaviricota,Polyploviricotina,Ellioviricetes,,Bunyavirales,,Wupedeviridae,,Wumivirus,,Millipede wumivirus,1,ssRNA(-),"New,",33,2017.012M.A.v2.Bunyavirales.zip,ICTVonline=20186242
514,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Amnoonviridae,,Tilapinevirus,,Tilapia tilapinevirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20185391
515,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Alphainfluenzavirus,,Influenza A virus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183956
516,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Betainfluenzavirus,,Influenza B virus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183958
517,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Deltainfluenzavirus,,Influenza D virus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183962
518,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Gammainfluenzavirus,,Influenza C virus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183960
519,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Isavirus,,Salmon isavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183964
520,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,Johnston Atoll quaranjavirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183966
521,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,Quaranfil quaranjavirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183967
522,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Thogotovirus,,Dhori thogotovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183969
523,,,,,Negarnaviricota,Polyploviricotina,Insthoviricetes,,Articulavirales,,Orthomyxoviridae,,Thogotovirus,,Thogoto thogotovirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183970
524,,,,,,,,,Caudovirales,,Ackermannviridae,Aglimvirinae,Ag3virus,,Salmonella virus SKML39,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185465
525,,,,,,,,,Caudovirales,,Ackermannviridae,Aglimvirinae,Ag3virus,,Shigella virus AG3,1,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180534
526,,,,,,,,,Caudovirales,,Ackermannviridae,Aglimvirinae,Limestonevirus,,Dickeya virus Limestone,1,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180521
527,,,,,,,,,Caudovirales,,Ackermannviridae,Aglimvirinae,Limestonevirus,,Dickeya virus RC2014,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185467
528,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Escherichia virus CBA120,1,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180522
529,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Escherichia virus PhaxI,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180524
530,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus 38,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185470
531,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus Det7,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180525
532,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus GG32,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185471
533,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus PM10,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185472
534,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus SFP10,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180528
535,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus SH19,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180529
536,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Cba120virus,,Salmonella virus SJ3,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180531
537,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Vi1virus,,Escherichia virus ECML4,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180523
538,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Vi1virus,,Salmonella virus Marshall,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180526
539,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Vi1virus,,Salmonella virus Maynard,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180527
540,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Vi1virus,,Salmonella virus SJ2,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180530
541,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Vi1virus,,Salmonella virus STML131,0,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180532
542,,,,,,,,,Caudovirales,,Ackermannviridae,Cvivirinae,Vi1virus,,Salmonella virus ViI,1,dsDNA,"Moved,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20180533
543,,,,,,,,,Caudovirales,,Ackermannviridae,,,,Erwinia virus Ea2809,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185475
544,,,,,,,,,Caudovirales,,Ackermannviridae,,,,Klebsiella virus 0507KN21,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185476
545,,,,,,,,,Caudovirales,,Ackermannviridae,,,,Serratia virus IME250,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185477
546,,,,,,,,,Caudovirales,,Ackermannviridae,,,,Serratia virus MAM1,0,dsDNA,"New,",32,2017.001B.A.v3.Ackermannviridae.zip,ICTVonline=20185478
547,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp220virus,,Campylobacter virus CP21,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180194
548,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp220virus,,Campylobacter virus CP220,1,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180195
549,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp220virus,,Campylobacter virus CPt10,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180196
550,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp220virus,,Campylobacter virus IBB35,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180197
551,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp8virus,,Campylobacter virus CP81,1,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180199
552,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp8virus,,Campylobacter virus CP30A,0,dsDNA,"New,",31,2016.069a-wB.A.v5.Caudovirales_38sp.pdf,ICTVonline=20180200
553,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp8virus,,Campylobacter virus CPX,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180201
554,,,,,,,,,Caudovirales,,Myoviridae,Eucampyvirinae,Cp8virus,,Campylobacter virus NCTC12673,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180202
555,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Ea214virus,,Erwinia virus Ea214,1,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180205
556,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Ea214virus,,Erwinia virus M7,0,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180206
557,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus AYO145A,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180208
558,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus EC6,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180209
559,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus HY02,0,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180210
560,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus JH2,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180211
561,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus TP1,0,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180212
562,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus VpaE1,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180213
563,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Escherichia virus wV8,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180214
564,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Salmonella virus FelixO1,1,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180215
565,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Salmonella virus HB2014,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180216
566,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Salmonella virus Mushroom,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180217
567,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Felixo1virus,,Salmonella virus UAB87,0,dsDNA,"Moved,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180218
568,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Mooglevirus,,Citrobacter virus Moogle,1,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180220
569,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Mooglevirus,,Citrobacter virus Mordin,0,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180221
570,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Suspvirus,,Escherichia virus SUSP1,1,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180223
571,,,,,,,,,Caudovirales,,Myoviridae,Ounavirinae,Suspvirus,,Escherichia virus SUSP2,0,dsDNA,"New,",31,2016.031a-rB.A.v2.Ounavirinae.pdf,ICTVonline=20180224
572,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,Hp1virus,,Aeromonas virus phiO18P,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180227
573,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,Hp1virus,,Haemophilus virus HP1,1,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180228
574,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,Hp1virus,,Haemophilus virus HP2,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180229
575,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,Hp1virus,,Pasteurella virus F108,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180230
576,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,Hp1virus,,Vibrio virus K139,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180231
577,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,Hp1virus,,Vibrio virus Kappa,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180232
578,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Burkholderia virus phi52237,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180234
579,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Burkholderia virus phiE122,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180235
580,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Burkholderia virus phiE202,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180236
581,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Escherichia virus 186,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180237
582,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Escherichia virus P2,1,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180238
583,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Escherichia virus Wphi,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180239
584,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Mannheimia virus PHL101,0,dsDNA,"Renamed,",31,2016.076aB.A.v2.1genus13sp_ren.pdf,ICTVonline=20180240
585,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Pseudomonas virus phiCTX,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180241
586,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Ralstonia virus RSA1,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180242
587,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Salmonella virus Fels2,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180243
588,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Salmonella virus PsP3,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180244
589,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Salmonella virus SopEphi,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180245
590,,,,,,,,,Caudovirales,,Myoviridae,Peduovirinae,P2virus,,Yersinia virus L413C,0,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180246
591,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus G1,0,dsDNA,"Renamed,Moved,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180249
592,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus G15,0,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180250
593,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus JD7,0,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180251
594,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus K,1,dsDNA,"Renamed,Moved,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180252
595,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus MCE2014,0,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180253
596,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus P108,0,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180254
597,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus Rodi,0,dsDNA,"New,",31,2016.069a-wB.A.v5.Caudovirales_38sp.pdf,ICTVonline=20180255
598,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus S253,0,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180256
599,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus S25-4,0,dsDNA,"New,",31,2016.069a-wB.A.v5.Caudovirales_38sp.pdf,ICTVonline=20180257
600,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Kayvirus,,Staphylococcus virus SA12,0,dsDNA,"New,",30,2015.005a-gB.A.v3.Kayvirus.pdf,ICTVonline=20180258
601,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,P100virus,,Listeria virus A511,0,dsDNA,"Renamed,Moved,",30,2015.012a-dB.A.v2.P100virus.pdf,ICTVonline=20180260
602,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,P100virus,,Listeria virus P100,1,dsDNA,"Renamed,Moved,",30,2015.012a-dB.A.v2.P100virus.pdf,ICTVonline=20180261
603,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Silviavirus,,Staphylococcus virus Remus,1,dsDNA,"New,",30,2015.018a-dB.A.v2.Silviavirus.pdf,ICTVonline=20180263
604,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Silviavirus,,Staphylococcus virus SA11,0,dsDNA,"New,",30,2015.018a-dB.A.v2.Silviavirus.pdf,ICTVonline=20180264
605,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Silviavirus,,Staphylococcus virus Stau2,0,dsDNA,"New,",31,2016.069a-wB.A.v5.Caudovirales_38sp.pdf,ICTVonline=20180265
606,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Spo1virus,,Bacillus virus Camphawk,0,dsDNA,"New,",31,2016.069a-wB.A.v5.Caudovirales_38sp.pdf,ICTVonline=20180267
607,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Spo1virus,,Bacillus virus SPO1,1,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180268
608,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Tsarbombavirus,,Bacillus virus BCP78,0,dsDNA,"New,",31,2016.051a-dB.A.v1.Tsarbombavirus.pdf,ICTVonline=20180270
609,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Tsarbombavirus,,Bacillus virus TsarBomba,1,dsDNA,"New,",31,2016.051a-dB.A.v1.Tsarbombavirus.pdf,ICTVonline=20180271
610,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,Twortvirus,,Staphylococcus virus Twort,1,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180273
611,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,,,Enterococcus virus phiEC24C,0,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180275
612,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,,,Lactobacillus virus Lb338-1,0,dsDNA,"Renamed,",31,2016.076aB.A.v2.1genus13sp_ren.pdf,ICTVonline=20180276
613,,,,,,,,,Caudovirales,,Myoviridae,Spounavirinae,,,Lactobacillus virus LP65,0,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren.pdf,ICTVonline=20180277
614,,,,,,,,,Caudovirales,,Myoviridae,Tevenvirinae,Cc31virus,,Enterobacter virus PG7,0,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae.pdf,ICTVonline=20180280
615,,,,,,,,,Caudovirales,,Myoviridae,Tevenvirinae,Cc31virus,,Escherichia virus CC31,1,dsDNA,"Renamed,",31,2016.076aB.A.v2.1genus13sp_ren.pdf,ICTVonline=20180281
616,,,,,,,,,Caudovirales,,Myoviridae,Tevenvirinae,Jd18virus,,Klebsiella virus JD18,1,dsDNA,"New,",31,2016.071a-dB.A.v1.Jd18virus.pdf,ICTVonline=20180283
